,image,num_iters,execution_time,star_coord,rel_recon_errors,flux_before,flux_after,l1_centroid_err,before_ecc,after_ecc,before_fwhm (pix),after_fwhm (pix),flag
0,ccfbue110099.fits,6,0.018,"(327.3375, 106.8566)","[0.9975971715989257, 0.9898484432552007, 0.9527346214043149, 0.7950057422892838, 0.5233482767048265]",166510.695,151054.072,1.974,0.16156585594242923,0.08201350726419865,9.969,6.647,0
1,ccfbvc170118.fits,2,0.003,"(474.0155, 402.918)",[0.9974135905313259],19539.843,59.988,3.995,0.13922673621547355,0.08951923746267476,13.083,11.521,0
2,ccfbvc170118.fits,11,0.02,"(178.244, 506.4522)","[0.9968499758294432, 0.9966994860092858, 0.9962600433540904, 0.9955063484986885, 0.9943621252330344, 0.9926987519982764, 0.9903242624451665, 0.9869655681823637, 0.9822462944157325, 0.9756651747845434]",24464.278,1914.81,2.492,0.11922524520707634,0.13184498026728575,13.196,7.448,0
3,ccfbvc170118.fits,9,0.015,"(485.6476, 528.831)","[0.9985133236826633, 0.9961159098324077, 0.9891101022127295, 0.968598804349857, 0.9117957737925723, 0.7812810085967, 0.5971358893077495, 0.5499769103602543]",167494.144,177381.354,3.143,0.12929485344238012,0.12927160900905932,14.442,7.889,0
4,ccfbvc170119.fits,2,0.004,"(226.8246, 174.0645)",[0.9965352156709094],11975.573,53.542,0.859,0.06113714251443059,0.027054084559163916,13.621,11.554,0
5,ccfbvc170119.fits,11,0.016,"(515.4571, 110.0911)","[0.99791177456623, 0.9963751317730023, 0.9932311840579809, 0.9867661333757486, 0.9734886438495582, 0.9467150155304688, 0.8953854588183101, 0.8070048579948399, 0.6829217003531065, 0.5641998527227495]",78685.954,63836.483,1.606,0.04776810678469334,0.07873576305936358,12.706,7.256,0
6,ccfbvc170119.fits,11,0.019,"(297.1877, 311.5624)","[0.9969863124450555, 0.996785878571344, 0.99630437277145, 0.9954951846264224, 0.9942622486181708, 0.9924513613160457, 0.9898332052017126, 0.9860790602897983, 0.9807313605428888, 0.9731757172227797]",26701.193,2056.88,1.257,0.05505976031297455,0.06383868699385908,12.6,7.305,0
7,ccfbvc170120.fits,2,0.004,"(484.9905, 435.0559)",[0.9973839797910122],33880.079,39.896,1.667,0.3137162397072598,0.06593801421689183,13.115,11.792,0
8,ccfbvc170120.fits,8,0.021,"(266.2868, 418.8551)","[0.9982900481396751, 0.9956173520444555, 0.9878147215659594, 0.9647576431303827, 0.8985769781036167, 0.7349257504258807, 0.5800030499927736]",257654.634,242722.775,1.608,0.2305516995613318,0.03559706070769386,15.038,8.492,0
9,ccfbvc170121.fits,11,0.015,"(178.0998, 506.4224)","[0.9968515594463835, 0.9967406786014956, 0.9963782086488749, 0.9957549982611222, 0.9948243330680385, 0.9935032456424361, 0.9916671213854711, 0.9891391279639031, 0.9856749745924237, 0.9809435125770942]",40462.343,1509.307,1.158,0.04365138744728747,0.053532932316270876,13.39,8.104,0
10,ccfbvc170121.fits,11,0.017,"(443.4051, 132.5788)","[0.9975782487207295, 0.9967917370206236, 0.9954078556804281, 0.9930722017804745, 0.989175539260606, 0.9826957953001211, 0.9719536596936351, 0.9542779800443373, 0.9256707938052523, 0.880864669171858]",97295.914,14922.453,1.639,0.12803289029088794,0.06554531673425046,13.115,7.927,0
11,ccfbvc310078.fits,11,0.018,"(178.0553, 506.567)","[0.9964749197742191, 0.9958002886384187, 0.9945687923265032, 0.992573653820281, 0.9894578340809923, 0.9846649358198695, 0.9773745596083052, 0.9664496580149006, 0.950464378794078, 0.927950955736072]",27779.767,6703.51,1.563,0.17813790503337912,0.2365507233830194,12.352,7.863,0
12,ccfbvc310078.fits,11,0.019,"(513.7465, 403.1672)","[0.9977185365865693, 0.9960706669573807, 0.9926912276209766, 0.9857975194381978, 0.9718941271617156, 0.9448310357539903, 0.8963678272720866, 0.8232433715758802, 0.7440216515317152, 0.7018471050189644]",81345.724,70802.511,2.601,0.2752477322827418,0.23780131174274155,13.193,8.035,0
13,ccfbvc310080.fits,11,0.017,"(178.1496, 506.69)","[0.9962709951788964, 0.9951938372185452, 0.9930398846729483, 0.9889940008021139, 0.981531912794346, 0.9679921427466414, 0.9442828889065442, 0.9059092541844529, 0.8533082986017008, 0.8038202065355048]",27871.552,17119.781,1.368,0.14735444558176847,0.12389314545210939,10.912,5.055,0
14,ccfbvc310080.fits,11,0.034,"(297.1078, 311.5216)","[0.9964117749724628, 0.9951598787418904, 0.9926007355437138, 0.9875982398374219, 0.9779489363073247, 0.9597053281517729, 0.9269532408926745, 0.8748816364902231, 0.8124577241830478, 0.7825324802459279]",30981.156,23013.556,1.32,0.11836872910892526,0.1607608335569819,10.401,4.794,0
15,ccfbvc310081.fits,9,0.012,"(393.0507, 312.993)","[0.9969536484505036, 0.9944573809816742, 0.9887918266421027, 0.9757249594940592, 0.9459197543236554, 0.8824467444698447, 0.7709654184614235, 0.6546759983236373]",72995.56,50085.222,0.78,0.2968879376558431,0.06119226220162699,13.794,6.798,0
16,ccfbvd120064.fits,11,0.018,"(480.1201, 27.653)","[0.9981765662199351, 0.9972336368820586, 0.9954931959634278, 0.9923098711165966, 0.9864990994923345, 0.9759423637251883, 0.9570212936448709, 0.9240819226112079, 0.8697704025311133, 0.7881879505034803]",64299.191,30729.036,1.222,0.11705093831859004,0.07472897513150722,13.103,7.289,0
17,ccfbvd120067.fits,6,0.012,"(430.7711, 436.9033)","[0.9993755768680601, 0.9948287119410827, 0.959039026574823, 0.789275503619144, 0.6399788679493266]",830052.113,913323.942,2.827,0.08360720087407636,0.10977130144730884,12.695,9.442,0
18,ccfbvf110066.fits,5,0.007,"(430.91, 436.7877)","[0.999004966950836, 0.9860952446639593, 0.8332952162404773, 0.416883366706612]",918460.439,982890.401,1.215,0.11264655985261107,0.0833822747032954,10.059,7.963,0
19,ccfbvf110069.fits,9,0.012,"(466.6864, 303.6346)","[0.9978769082038539, 0.995025640828711, 0.9873986519154593, 0.9668699178731015, 0.9135817068595026, 0.7931505784538477, 0.6135938976783079, 0.5875948426727522]",129927.981,122680.75,0.765,0.2135325243141919,0.2126771948103966,11.034,7.02,0
20,ccfbwd010113.fits,2,0.004,"(266.2741, 418.8532)",[0.9994147844133948],136799.991,32.056,1.403,0.39019992660013736,0.016002496329021842,14.616,11.667,0
21,ccfbxb090103.fits,8,0.013,"(327.2416, 106.9162)","[0.9982050648955338, 0.9945729538729697, 0.98218348565141, 0.9406289329635672, 0.8186147837292979, 0.5875355119829594, 0.5145188389043565]",130876.613,138937.599,1.936,0.09035866993682762,0.13360589383209365,10.383,6.603,0
