,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,ccfbue110099.fits,3,0.02,"(1000, 0.0001, 0.4, 1e-05, 100000.0, 10.0, 3, 0.5, 1)","(327.3375, 106.8566)","[0.22670202288995567, 0.0464635489112298, 2.7382330198186796e-05]",[],166510.695,150903.322,[0.162 0.329],0.49,0.366,0.17078563058378993,0.20945930524935008,8.189,4.096,1
1,ccfbvc170118.fits,4,0.013,"(1000, 0.0001, 0.4, 1e-05, 100000.0, 10.0, 3, 0.5, 1)","(474.0155, 402.918)","[0.18903644957539092, 0.05058746873552292, 0.006641895904995828, 1.772810266857234e-14]",[],19539.843,11935.058,[-0.505  2.498],3.003,2.548,0.21076790784047184,0.2672132703321146,11.472,4.572,0
2,ccfbvc170118.fits,5,0.015,"(1000, 0.0001, 0.4, 1e-05, 100000.0, 10.0, 3, 0.5, 1)","(178.244, 506.4522)","[0.19289946362482005, 0.05873735334502428, 0.003487733439685321, 0.00010230383684100658, 1.766307708235536e-06]",[],24464.278,17743.988,[-0.283  1.849],2.132,1.871,0.15418472556534324,0.2314661466270529,11.308,4.8,0
3,ccfbvc170118.fits,3,0.013,"(1000, 0.0001, 0.4, 1e-05, 100000.0, 10.0, 3, 0.5, 1)","(485.6476, 528.831)","[0.1625470337160251, 0.033507493336538345, 1.2181737043745401e-15]",[],167494.144,167678.397,[-0.589  1.692],2.281,1.792,0.18173300883037102,0.23784846135432824,12.507,5.289,1
4,ccfbvc170119.fits,4,0.011,"(1000, 0.0001, 0.4, 1e-05, 100000.0, 10.0, 3, 0.5, 1)","(226.8246, 174.0645)","[0.1645857412622922, 0.01894675947536451, 0.007426138415704829, 7.05551618858094e-15]",[],11975.573,8675.697,[0.282 0.443],0.725,0.525,0.05218858781135194,0.1219840821663003,11.874,4.879,0
5,ccfbvc170119.fits,5,0.014,"(1000, 0.0001, 0.4, 1e-05, 100000.0, 10.0, 3, 0.5, 1)","(515.4571, 110.0911)","[0.22252456765530138, 0.02928306577523426, 0.02271426551482778, 0.0010977382473765795, 0.0]",[],78685.954,83386.082,[-0.241  0.645],0.886,0.688,0.09527606519182596,0.11125092878487708,10.991,5.79,1
6,ccfbvc170119.fits,5,0.013,"(1000, 0.0001, 0.4, 1e-05, 100000.0, 10.0, 3, 0.5, 1)","(297.1877, 311.5624)","[0.19387811703558164, 0.042349999598087495, 0.011304683989512544, 0.0003059497580536649, 7.493742159717482e-06]",[],26701.193,22489.493,[-0.228  0.568],0.796,0.612,0.0735051553541003,0.1209483910613649,11.002,5.311,0
7,ccfbvc170120.fits,5,0.011,"(1000, 0.0001, 0.4, 1e-05, 100000.0, 10.0, 3, 0.5, 1)","(484.9905, 435.0559)","[0.10049845961519514, 0.043922786461012206, 0.038826255438710905, 0.0009536999238588399, 1.3824172906411131e-05]",[],33880.079,19089.528,[1.186 1.14 ],2.326,1.645,0.33807601396208864,0.0875354722967191,11.65,4.718,0
8,ccfbvc170120.fits,6,0.017,"(1000, 0.0001, 0.4, 1e-05, 100000.0, 10.0, 3, 0.5, 1)","(266.2868, 418.8551)","[0.3278840182738298, 0.041633664383454935, 0.031482244035641226, 0.014134405812895785, 0.0002430925428898875, 1.0973902185182045e-05]",[],257654.634,450677.65,[-0.21   0.264],0.474,0.337,0.31648930690279486,0.10844995036995297,13.038,6.158,0
9,ccfbvc170121.fits,4,0.011,"(1000, 0.0001, 0.4, 1e-05, 100000.0, 10.0, 3, 0.5, 1)","(178.0998, 506.4224)","[0.2942888831964358, 0.020338643921181565, 0.030738395146166594, 8.497184148710177e-15]",[],40462.343,42892.274,[-0.132  0.321],0.453,0.347,0.026608777562397656,0.10036341060358833,11.372,5.658,1
10,ccfbvc170121.fits,6,0.02,"(1000, 0.0001, 0.4, 1e-05, 100000.0, 10.0, 3, 0.5, 1)","(443.4051, 132.5788)","[0.2415361757594112, 0.00745834477367083, 0.03248041411519314, 0.00625688654545112, 0.0006167042730105644, 1.0810572710441914e-06]",[],97295.914,96945.719,[-0.178  0.256],0.434,0.312,0.16361087066207758,0.11362437373117307,11.056,6.157,1
11,ccfbvc310078.fits,6,0.014,"(1000, 0.0001, 0.4, 1e-05, 100000.0, 10.0, 3, 0.5, 1)","(178.0553, 506.567)","[0.05635473004486974, 0.0014537203347410326, 0.0059225527842458195, 0.0021488922396178246, 0.0007740509803809554, 0.0]",[],27779.767,21861.525,[-0.273 -0.117],0.389,0.296,0.23048557652049884,0.5201192653295204,10.441,5.878,0
12,ccfbvc310078.fits,2,0.009,"(1000, 0.0001, 0.4, 1e-05, 100000.0, 10.0, 3, 0.5, 1)","(513.7465, 403.1672)","[0.018386349574910983, 6.265511316888021e-15]",[],81345.724,82948.264,[-0.132  0.027],0.159,0.134,0.28129208446223486,0.21560715579059053,11.451,9.506,1
13,ccfbvc310080.fits,4,0.01,"(1000, 0.0001, 0.4, 1e-05, 100000.0, 10.0, 3, 0.5, 1)","(178.1496, 506.69)","[0.29039187808705924, 0.11978100247338447, 0.005318707592348249, 1.0078267455074909e-14]",[],27871.552,24713.745,[-0.099  0.145],0.244,0.175,0.17374662161190557,0.206294502669495,9.681,4.838,0
14,ccfbvc310080.fits,4,0.01,"(1000, 0.0001, 0.4, 1e-05, 100000.0, 10.0, 3, 0.5, 1)","(297.1078, 311.5216)","[0.2737082205822902, 0.1287359633738625, 0.000694945213301245, 1.445211648636571e-14]",[],30981.156,26328.462,[-0.157  0.051],0.208,0.165,0.12935943649203163,0.24124542093193602,9.35,4.664,0
15,ccfbvc310081.fits,4,0.014,"(1000, 0.0001, 0.4, 1e-05, 100000.0, 10.0, 3, 0.5, 1)","(393.0507, 312.993)","[0.10417545757252875, 0.06492372714733533, 0.002596650126145536, 6.457853491366935e-15]",[],72995.56,69693.202,[-0.757 -0.815],1.572,1.113,0.4007196210240287,0.408445767579108,12.67,5.396,1
16,ccfbvd120064.fits,6,0.013,"(1000, 0.0001, 0.4, 1e-05, 100000.0, 10.0, 3, 0.5, 1)","(480.1201, 27.653)","[0.3425677918318761, 0.02916182030236639, 0.019556676269524672, 0.002986292778213204, 0.00018027314848390578, 2.5301220723834046e-15]",[],64299.191,64349.926,[0.242 0.271],0.513,0.364,0.15445389737686743,0.20891256051434492,10.412,5.433,1
17,ccfbvd120067.fits,6,0.033,"(1000, 0.0001, 0.4, 1e-05, 100000.0, 10.0, 3, 0.5, 1)","(430.7711, 436.9033)","[0.10896549247323901, 0.02156915165421286, 0.021058985741298032, 0.009027986067632882, 0.0008610894398856896, 7.82884291062816e-05]",[],830052.113,913763.02,[1.097 0.587],1.683,1.244,0.11761607488883696,0.13347119498762583,10.304,5.748,0
18,ccfbvf110066.fits,32,0.065,"(1000, 0.0001, 0.4, 1e-05, 100000.0, 10.0, 3, 0.5, 1)","(430.91, 436.7877)","[0.157259553985618, 0.024502528161271565, 0.00689324522160301, 0.005544952057000019, 0.005182363453480021, 0.006901200388046367, 0.010710491069502821, 0.009888854503695279, 0.008353782947021627, 0.007159212449994646, 0.004726650695792658, 0.004623868356062974, 0.004568126979071103, 0.009466579331422703, 0.007562183682960467, 0.0071231037607896435, 0.005627069582433715, 0.005282195200992859, 0.00516271989289394, 0.005732652166427904, 0.00773236576440889, 0.007714460323106281, 0.007411001372183643, 0.004769181489932873, 0.004458712060667501, 0.004376370339261602, 0.004910984113905317, 0.0053938398965237165, 0.006258519334629807, 0.014066356109320666, 0.0003178341496744274, 3.1578175036252754e-07]",[],918460.439,649378.589,[-0.025 -0.168],0.193,0.17,0.13988405042365093,0.25657461838606765,8.534,5.076,0
19,ccfbvf110069.fits,6,0.017,"(1000, 0.0001, 0.4, 1e-05, 100000.0, 10.0, 3, 0.5, 1)","(466.6864, 303.6346)","[0.2252443600712293, 0.04099489455971762, 0.025575465324882713, 0.010210376453007227, 0.002395189912217042, 2.2629800823130346e-05]",[],129927.981,132587.614,[-0.16  -0.836],0.997,0.852,0.2746605918611613,0.3334008605712302,9.964,5.405,1
20,ccfbwd010113.fits,3,0.008,"(1000, 0.0001, 0.4, 1e-05, 100000.0, 10.0, 3, 0.5, 1)","(266.2741, 418.8532)","[0.2642674720509231, 0.05630667868593058, 1.6223369650581656e-14]",[],136799.991,51947.439,[0.073 0.814],0.887,0.817,0.5143765879669346,0.09633145981865177,13.286,3.686,0
21,ccfbxb090103.fits,4,0.009,"(1000, 0.0001, 0.4, 1e-05, 100000.0, 10.0, 3, 0.5, 1)","(327.2416, 106.9162)","[0.2515851425238114, 0.051718827601187414, 0.00415465943920951, 8.246789080243597e-05]",[],130876.613,123578.686,[0.519 0.274],0.792,0.586,0.13616354213762338,0.31263245101838055,8.781,4.684,1
